Model,CV_Accuracy,CV_Macro_F1,CV_Macro_Recall,CV_Weighted_F1,Test_Accuracy,Test_Macro_F1,Test_Balanced_Accuracy
XGBoost,0.9319 ± 0.0058,0.6912 ± 0.1508,0.7099 ± 0.1584,0.9335 ± 0.0060,0.9178,0.5513,0.5778
Random Forest,0.9294 ± 0.0033,0.6855 ± 0.1444,0.7021 ± 0.1480,0.9307 ± 0.0039,0.9012,0.5346,0.5715
Decision Tree,0.9207 ± 0.0055,0.6221 ± 0.1160,0.6539 ± 0.1240,0.9247 ± 0.0053,0.9089,0.5421,0.5744
SVM,0.8613 ± 0.0070,0.6067 ± 0.1183,0.6630 ± 0.1293,0.8736 ± 0.0055,0.8408,0.4749,0.5241
Logistic Regression,0.8006 ± 0.0109,0.5584 ± 0.1160,0.6425 ± 0.1267,0.8263 ± 0.0084,0.7895,0.4499,0.5322
